,,,Quantity of Water Transferred,,,,,,Prices,,,,Transfer Length,,,,Transfer Type,,,,,,,,,,,,,,
ID Code,Year,State,Minimum Annual Acre-Feet,Average Annual Acre-Feet,Maximum Annual Acre-Feet,Committed Minimum Acre-Feet,Commited Average Acre-Feet,Commited Maximum Acre-Feet,Total Price,Inflation Adjusted Total Price,Inflation Adjusted Price per Annual Acre-Foot,Inflation Adjusted Price per Committed Acre-Foot,Sale,Lease,Exchange,Lease Duration,Ag-to-Ag,Ag-to-Urban,Ag-to-Enivo,Urban-to-Ag,Urban-to-Urban,Urban-to-Enviro,Enviro-to-Ag,Enviro-to-Urban,Enviro-to-Enviro,Combination,Recycled,Unknown,Seller,Buyer,Water Strategist Issue
NV50,1992,NV,556,556,556,11120,11120,11120,1590160,1287542,2315.723,115.7862,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Rancher,Carson City WD,Apr '92
NV51,1992,NV,2260,2260,2260,45200,45200,45200,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Farmers,The Nature Conservancy,Jan '92
NV52,1992,NV,742,742,742,14840,14840,14840,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,City of Reno,Jul '92
NV53,1992,NV,342,342,342,6840,6840,6840,1017629,823967.6,2409.262,120.4631,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,City of Reno,Nov '92
NV54,1993,NV,883,883,883,17660,17660,17660,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,"Cities of Reno, Sparks and Washoe County",Dec '93
NV55,1993,NV,639,639,639,12780,12780,12780,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,"Cities of Reno, Sparks and Washoe County",Jun '93
NV56,1993,NV,850,850,850,850,850,850,51000,40094.12,47.16955,47.16955,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Aqueduct #1,Carson City WD,Mar '93
NV57,1993,NV,23000,23000,23000,460000,460000,460000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Southern California Edison,Southern Nevada Water Authority,Nov '93
NV58,1994,NV,772.1,772.1,772.1,15442,15442,15442,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Jun '94
NV59,1994,NV,7000,7000,7000,7000,7000,7000,,,,,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,"BuRec, Washoe County CD, PyramIrrigation District Lake Indian Tribe",Sierra Pacific Power Co,Jun'94
NV60,1994,NV,14550,14550,14550,14550,14550,14550,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Victory Valley Land Co,Southern NV Water Authority,May '94
NV61,1995,NV,29.77,29.77,29.77,595.4,595.4,595.4,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Washoe County,Fall '95
NV62,1995,NV,110.44,110.44,110.44,2208.8,2208.8,2208.8,249870.5,186255.2,1686.483,84.32415,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Westpac Utilities,City of Reno,Fall '95
NV63,1995,NV,111.53,111.53,111.53,2230.6,2230.6,2230.6,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,City of Sparks,Fall '95
NV64,1995,NV,545,545,545,10900,10900,10900,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,City of Reno,Fall '95
NV65,1995,NV,822,822,822,16440,16440,16440,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Jan '95
NV66,1995,NV,14550,14550,14550,14550,14550,14550,7275,5422.835,0.3727034,0.3727034,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Bureau of Reclamation,Southern NV Water Authority,Spring '95
NV67,1997,NV,852,852,852,17040,17040,17040,2428200,1718651,2017.196,100.8598,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Jul '97
NV68,1998,NV,2682,2682,2682,53640,53640,53640,8878761,6187897,2307.195,115.3597,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Jul '98
NV69,1998,NV,7240,7240,7240,144800,144800,144800,6540000,4557939,629.5495,31.47748,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Del Webb Corp,US Fish and Wildlife Service,Jul '98
NV70,1998,NV,987,987,987,19740,19740,19740,3608472,2514862,2547.985,127.3993,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Various Developers,Cities of Reno and Sparks and Washoe County,Mar '99
NV71,1998,NV,1037,1037,1037,20740,20740,20740,5852410,4078735,3933.206,196.6603,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Various Developers,Washoe County,Mar '99
NV72,1998,NV,7500,7500,7500,53308.663,53308.663,53308.663,25000000,1.74E+07,2323.108,326.8383,0,1,0,9,0,1,0,0,0,0,0,0,0,0,,0,"Coyote Springs Investment, LLC",Las Vegas Valley WD,Spring'98
NV73,1999,NV,1513,1513,1513,30260,30260,30260,1361700,928506.1,613.6854,30.68427,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Irrigators,Great Basin Land and Water,Apr '99
NV74,1999,NV,790,790,790,15800,15800,15800,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Feb '00
NV75,1999,NV,210,210,210,4200,4200,4200,1214742,828299.4,3944.283,197.2142,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Washoe County,Jan '00
NV76,1999,NV,8050,8050,8050,161000,161000,161000,10465000,7135798,886.4345,44.32173,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Irrigators,State of NV and NV Waterfowl Assoc.,Jan '99
NV77,1999,NV,19600,19600,19600,392000,392000,392000,2.55E+08,1.74E+08,8864.346,443.2173,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Irrigators,US Fish and Wildlife Service,Jan '99
NV78,1999,NV,524,524,524,10480,10480,10480,2382413,1624503,3100.196,155.0098,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Washoe County,Jul '99
NV79,1999,NV,1131,1131,1131,22620,22620,22620,3460860,2359866,2086.531,104.3265,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Jul '99
NV80,1999,NV,173,173,173,3460,3460,3460,161744,110288.8,637.5076,31.87538,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Irrigators,Great Basin Land and Water,May '99
NV81,2000,NV,15,15,15,300,300,300,9000,5937.282,395.8188,19.79094,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Irrigator,Great Basin Land and Water,Feb '00
NV82,2000,NV,553,553,553,11060,11060,11060,2888281,1905393,3445.557,172.2779,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Washoe County,Feb '01
NV83,2000,NV,624,624,624,12480,12480,12480,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Feb '01
NV84,2000,NV,418,418,418,8360,8360,8360,1341448,884950.6,2117.107,105.8553,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Washoe County,Jul '00
NV85,2000,NV,914,914,914,18280,18280,18280,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Jul '00
NV86,2001,NV,497,497,497,9940,9940,9940,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Washoe County,Apr '02
NV87,2001,NV,888,888,888,17760,17760,17760,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Apr '02
NV88,2001,NV,940,940,940,18800,18800,18800,2796500,1793802,1908.3,95.41502,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Irrigator,Great Basin Land and Water,Jul '01
NV89,2001,NV,1400,1400,1400,19731.522,19731.522,19731.522,,,,,0,1,0,25,0,1,0,0,0,0,0,0,0,0,,0,Las Vegas Valley WD,Duke Energy Corp and Mirant Americas Development,May '01
NV90,2001,NV,416,416,416,8320,8320,8320,1866103,1197003,2877.412,143.8706,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Washoe County,Sep '01
NV91,2001,NV,523,523,523,10460,10460,10460,1731858,1110893,2124.077,106.2039,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Sep '01
NV92,2002,NV,194,194,194,3880,3880,3880,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Landowners,Environmental Users,Dec '02
NV93,2002,NV,840,840,840,16800,16800,16800,3171000,2002366,2383.769,119.1884,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Jan '03
NV94,2002,NV,1053,1053,1053,21060,21060,21060,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Washoe County,Jan '03
NV95,2002,NV,934,934,934,18680,18680,18680,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Oct '02
NV96,2002,NV,1059,1059,1059,21180,21180,21180,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Washoe County,Oct '02
NV97,2003,NV,460,460,460,9200,9200,9200,821376,507110.4,1102.414,55.1207,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Mustang Ranch,Great Basin Land and Water,Feb '03
NV98,2003,NV,591,591,591,11820,11820,11820,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Washoe County,Feb '04
NV99,2003,NV,1341,1341,1341,26820,26820,26820,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Feb '04
NV100,2003,NV,55,55,55,1100,1100,1100,178860,110426.6,2007.757,100.3878,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Landowners,Truckee Meadows Water Authority,Jan '04
NV101,2003,NV,55,55,55,1100,1100,1100,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Various Landowners,Truckee Meadows Water Authority,Jan'04
NV102,2003,NV,117,117,117,2340,2340,2340,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Landowners,Truckee Meadows Water Authority,Jul '03
NV103,2003,NV,1053,1053,1053,21060,21060,21060,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Washoe County,Jul '03
NV104,2003,NV,1185,1185,1185,23700,23700,23700,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Multiple Urban Users,Jul '03
NV105,2003,NV,40,40,40,800,800,800,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Landowner,Great Basin Land and Water,Nov '03
NV106,2004,NV,591.18,591.18,591.18,11823.6,11823.6,11823.6,2700615,1624086,2747.194,137.3597,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Various Developers,Washoe County,Feb '04
NV107,2004,NV,1341,1341,1341,26820,26820,26820,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers acquiring rights appurtenant to land or through Truckee Meadows Water Authority,"Cities of Reno and Sparks, Washoe County",Feb '04
NV108,2004,NV,23281.2,23281.2,23281.2,465624,465624,465624,,,,,1,0,0,,0,0,0,0,0,0,0,0,0,1,,0,VIrrigation Districtler Water Company,A partnership including Developers,Feb '04
NV109,2004,NV,90.05,90.05,90.05,1801,1801,1801,306170,184123.4,2044.68,102.234,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Various water rights owners,Truckee Meadows Water Authority,July/Aug '04
NV110,2004,NV,1292.99,1292.99,1292.99,25859.8,25859.8,25859.8,6246550,3756528,2905.303,145.2652,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Various Developers,Washoe County,July/Aug '04
NV111,2004,NV,1713,1713,1713,34260,34260,34260,7126080,4285457,2501.726,125.0863,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Developers,"Cities of Reno and Sparks, Washoe County",July/Aug '04
NV112,2004,NV,5,5,5,100,100,100,,,,,1,0,0,,0,0,0,0,0,1,0,0,0,0,,0,Private party,Great Basin Land and Water,Jun'04
NV113,2004,NV,104,104,104,2080,2080,2080,1102400,662957.4,6374.59,318.7295,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Washoe County,Several Private entities,Nov '04
NV114,2004,NV,122.24,122.24,122.24,2444.8,2444.8,2444.8,733440,441073.5,3608.258,180.4129,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private Entity,Truckee Meadows Water Authority,Nov '04
NV115,2005,NV,148.82,148.82,148.82,2976.4,2976.4,2976.4,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Various water rights owners,Truckee Meadows Water Authority,Feb '05
NV116,2005,NV,683,683,683,13660,13660,13660,4375960,2545361,3726.737,186.3368,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,Feb '05
NV117,2005,NV,1368,1368,1368,27360,27360,27360,6730560,3914960,2861.813,143.0906,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Truckee Meadows Water Authority,Feb '05
NV118,2005,NV,417.51,417.51,417.51,8350.2,8350.2,8350.2,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,various water Users,Truckee Meadows Water Authority,Feb '06
NV119,2005,NV,1415.03,1415.03,1415.03,28300.6,28300.6,28300.6,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Truckee Meadows Water Authority,Feb '06
NV120,2005,NV,3681.492,3681.492,3681.492,73629.84,73629.84,73629.84,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,Feb '06
NV121,2005,NV,0.56,0.56,0.56,11.2,11.2,11.2,3080,1792,3200,160,1,0,0,,,,,,,,,,,,,1,Private party,Great Basin Land and Water,Jan '06
NV122,2005,NV,8.28,8.28,8.28,165.6,165.6,165.6,149040,86692,10470.048,523.5,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Truckee Division of the Newlands Project,Great Basin Land and Water,Jan '06
NV123,2005,NV,22.5,22.5,22.5,450,450,450,427500,248664,11051.733,552.587,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Truckee Division of the Newlands Project,Great Basin Land and Water,Jan '06
NV124,2005,NV,26.37,26.37,26.37,527.4,527.4,527.4,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Truckee Division of the Newlands Project,Great Basin Land and Water,Jan '06
NV125,2005,NV,53.39,53.39,53.39,1067.8,1067.8,1067.8,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Various water rights owners,Truckee Meadows Water Authority,July/Aug '05
NV126,2005,NV,1018.386,1018.386,1018.386,20367.72,20367.72,20367.72,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,July/Aug '05
NV127,2005,NV,1338.45,1338.45,1338.45,26769,26769,26769,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Truckee Meadows Water Authority,July/Aug '05
NV128,2005,NV,3170,3170,3170,63400,63400,63400,9979160,5804570,1831.095,91.55473,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Leavitt Foundation,Southern Nevada Water Authority,July/Aug '05
NV129,2005,NV,7.4,7.4,7.4,148,148,148,25160,14634.8,1977.675,98.88377,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Private Parties,Great Basin Land and Water,Mar '05
NV130,2005,NV,47.61,47.61,47.61,952.2,952.2,952.2,40183,23373.21,490.9308,24.54654,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Private Parties,Great Basin Land and Water,Mar '05
NV131,2005,NV,127.89,127.89,127.89,2557.8,2557.8,2557.8,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Private Parties,Great Basin Land and Water,Mar '05
NV132,2005,NV,2100,2100,2100,42000,42000,42000,15750000,9161290,4362.519,218.1259,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Lincoln County WD and VIrrigation Districtler Water Company,Developer,Nov '05
NV133,2005,NV,17935,17935,17935,358700,358700,358700,1.09E+08,6.31E+07,3519.111,175.9555,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Lincoln County WD and VIrrigation Districtler Water Company,Coyote Springs Investment LLC,Nov '05
NV134,2006,NV,2001,2001,2001,24936.88,24936.88,24936.88,5202600,2931623.81,1465.08,117.56,0,1,0,20,0,1,0,0,0,0,0,0,0,0,,0,Corporation of the PresIrrigation Districting Bishop of the Church of Jesus Christ of Latter-day Saints,Southern Nevada Water Authority and Moapa Valley Water District,Apr'06
NV135,2006,NV,8000,8000,8000,160000,160000,160000,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,"Fish Springs Ranch, LLC",Washoe County,Apr'06
NV136,2006,NV,29.39,29.39,29.39,587.8,587.8,587.8,339000,"191,023.81",6499.62,324.98,1,0,0,,,,,,,,,,,,,1,private parties,Great Basin Land and Water,December '06
NV137,2006,NV,12.06,12.06,12.06,241.2,241.2,241.2,241200,"135,914.29",11269.84,563.49,1,0,0,,,,,,,,,,,,,1,private parties,Great Basin Land and Water,December '06
NV138,2006,NV,5.81,5.81,5.81,116.2,116.2,116.2,91800,"51,728.57",8903.37,445.17,1,0,0,,,,,,,,,,,,,1,private parties,Great Basin Land and Water,December '06
NV139,2006,NV,20,20,20,400,400,400,560000,"315,555.56",15777.78,788.89,1,0,0,,,,,,,,,,,,,1,private parties,Great Basin Land and Water,December '06
NV140,2006,NV,2092.56,2092.56,2092.56,41851.2,41851.2,41851.2,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,various water rights owners,Truckee Meadows Water Authority,Jan'07
NV141,2006,NV,1253,1253,1253,25060,25060,25060,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Truckee Meadows Water Authority,Jan'07
NV142,2006,NV,784.57,784.57,784.57,15691.4,15691.4,15691.4,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,Jan'07
NV143,2006,NV,13697.05,13697.05,13697.05,273581,273581,273581,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,two ranches,Southern Nevada Water Authority,July/August '06
NV144,2006,NV,1549.6,1549.6,1549.6,30992,30992,30992,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,July/August '06
NV145,2006,NV,12.12,12.12,12.12,242.4,242.4,242.4,545400,307328.57,25357.14,1267.86,0,0,1,,,,,,,,,,,,,1,Developer,Washoe County,May '06
NV146,2006,NV,130.99,130.99,130.99,2619.8,2619.8,2619.8,4257175,2398884.33,18313.5,915.67,0,0,1,,,,,,,,,,,,,1,Developer,Washoe County,May '06
NV147,2006,NV,34.7,34.7,34.7,694,694,694,1127750,635478.17,18313.5,915.67,0,0,1,,,,,,,,,,,,,1,Developer,Washoe County,May '06
NV148,2006,NV,116.85,116.85,116.85,2337,2337,2337,3797625,2139931.55,18313.5,915.67,0,0,1,,,,,,,,,,,,,1,Developer,Washoe County,May '06
NV149,2006,NV,1760,3110.227,4460.454,35200,62204.6,89209,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Phillips Ranch in Spring Valley,Southern Nevada Water Authority,November '06
NV150,2006,NV,390.83,390.83,390.83,7816.6,7816.6,7816.6,,,,,0,0,1,,0,0,0,0,0,0,0,0,0,1,,0,Developers,Washoe County,Oct '06
NV151,2006,NV,25.22,25.22,25.22,504.4,504.4,504.4,1135026.1,639578.2,25359.96,1268,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Private party,Great Basin Land and Water,Sept '06
NV152,2006,NV,2.37,2.37,2.37,47.4,47.4,47.4,82950,46741.67,19722.22,986.11,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Private party,Great Basin Land and Water,Sept '06
NV153,2006,NV,1130,1130,1130,22600,22600,22600,37742000,21267317.5,18820.63,941.03,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Truckee Meadows Water Authority,Sept '06
NV154,2006,NV,596,596,596,11920,11920,11920,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Various water rights owners,Truckee Meadows Water Authority,Sept '06
NV155,2007,NV,658.598,658.598,658.598,13171.96,13171.96,13171.96,,,,,1,0,0,,0,0,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,Apr'07
NV156,2007,NV,1738.152,2659.27,3580.392,34763.04,53185.4,71607.8,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Landowner,Southern Nevada Water Authority,February '07
NV157,2007,NV,317.72,345.26,372.8,6354.4,6905.2,7456,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Landowner,southern Nevada Water Authority,February '07
NV158,2007,NV,35,35,35,700,700,700,515235,282290.59,8065.45,403.27,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Private Parties,Great Basin Land and Water,January '08
NV159,2007,NV,43.16,43.16,43.16,863.2,863.2,863.2,584170.6,320059.52,7415.65,370.78,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Private Parties,Great Basin Land and Water,January '08
NV160,2007,NV,54.97,54.97,54.97,1099.4,1099.4,1099.4,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,January '08
NV161,2007,NV,76.034,76.034,76.034,1520.68,1520.68,1520.68,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,January '08
NV162,2007,NV,42,42,42,840,840,840,735000,402697,9588.02,479.401,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Private Party,Truckee Meadows Water Authority,January '08
NV163,2007,NV,2.16,2.16,2.16,43.2,43.2,43.2,75000,"40,865.27",18919.11,945.96,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,private parties,Truckee Meadows Water Authority,July/August '07
NV164,2007,NV,118,118,118,2360,2360,2360,3304000,"1,800,251.33",15256.37,762.82,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,private parties,Truckee Meadows Water Authority,July/August '07
NV165,2007,NV,196.16,196.16,196.16,3923.2,3923.2,3923.2,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,July/August '07
NV166,2007,NV,118.89,118.89,118.89,2377.8,2377.8,2377.8,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers--Truckee River Basin,Washoe County,November '07
NV167,2007,NV,500,500,500,10000,10000,10000,22500000,12259580.8,24519.16,1225.96,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,VIrrigation Districtler Water Company,various property owners,Oct '07
NV168,2007,NV,1.7,1.7,1.7,34,34,34,10165,"5,538.61",3258.03,162.9,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Orr Ditch Decree,Great Basin Land and Water,Sept '07
NV169,2007,NV,241.71,241.71,241.71,4834.2,4834.2,4834.2,4170947.76,"2,272,625.38",9402.28,470.11,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Irrigators of Truckee Carson Irrigation District,Great Basin Land and Water,Sept '07
NV170,2008,NV,4,4,4,80,80,80,,,,,0,0,1,,0,0,0,0,0,0,0,0,0,0,,1,Developer,Washoe County,Nov-08
NV171,2008,NV,18.5,18.5,18.5,370,370,370,,,,,0,0,1,,0,0,0,0,0,0,0,0,0,0,,1,Developer,Washoe County,Nov-08
NV172,2008,NV,92.42,92.42,92.42,1848.4,1848.4,1848.4,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,April '08
NV173,2008,NV,286.75,286.75,286.75,5735,5735,5735,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,April '08
NV174,2008,NV,45.27,45.27,45.27,905.4,905.4,905.4,,,,,0,1,0,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Washoe County,January '09
NV175,2008,NV,166.561,166.561,166.561,3331.22,3331.22,3331.22,,,,,0,1,0,,0,1,0,0,0,0,0,0,0,0,,0,Developers--(groundwater),Washoe County,January '09
NV176,2008,NV,149.5,149.5,149.5,2990,2990,2990,,,,,0,1,0,,0,1,0,0,0,0,0,0,0,0,,0,Truckee Meadows Water Authority,City of Reno developers,January '09
NV177,2008,NV,1.91,1.91,1.91,38.2,38.2,38.2,,,,,0,1,0,,0,1,0,0,0,0,0,0,0,0,,0,Truckee Meadows Water Authority,City of Reno developers,January '09
NV178,2008,NV,42.43,42.43,42.43,848.6,848.6,848.6,,,,,0,1,0,,0,1,0,0,0,0,0,0,0,0,,0,Truckee Meadows Water Authority,City of Sparks developers,January '09
NV179,2008,NV,2262.26,2262.26,2262.26,45245.2,45245.2,45245.2,12375000,6391045.8,2824.97,141.25,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Private Party,Southern Nevada Water Authority,July/August '08
NV180,2008,NV,54.675,54.675,54.675,1093.5,1093.5,1093.5,765450,395315.23,7230.27,361.51,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Private Party,Great Basin Land and Water,July/August '08
NV181,2008,NV,16.88,16.88,16.88,337.6,337.6,337.6,203032.64,104855.83,6211.84,310.59,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Private Party,Great Basin Land and Water,July/August '08
NV182,2008,NV,42.44,42.44,42.44,848.8,848.8,848.8,363243.96,187596.67,4420.28,221.01,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Private Party,Great Basin Land and Water,July/August '08
NV183,2008,NV,423.29,423.29,423.29,8465.8,8465.8,8465.8,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Truckee Meadows Water Authority,Deveiopers--Reno,July/August '08
NV184,2008,NV,4.86,4.86,4.86,97.2,97.2,97.2,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Truckee Meadows Water Authority,Developers--City of Reno groundwater,July/August '08
NV185,2008,NV,167.14,167.14,167.14,3342.8,3342.8,3342.8,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Truckee Meadows Water Authority,Developers--City of Sparks,July/August '08
NV186,2008,NV,292.41,292.41,292.41,5848.2,5848.2,5848.2,,,,,0,0,1,,0,0,0,0,0,0,0,0,0,0,,1,Developers,Washoe County,July/August '08
NV187,2008,NV,1125.6,1125.6,1125.6,22512,22512,22512,,,,,0,0,1,,0,0,0,0,0,0,0,0,0,0,,1,Developers,Washoe County--groundwater,July/August '08
NV190,2008,NV,28,28,28,560,560,560,320224.92,168959.7958,6034.278421,301.713921,1,,,,,1,,,,,,,,,,,Bunk Farm LLC,Virgin Valley Water District,April '09
NV191,2008,NV,28,28,28,121.2253468,121.2253468,121.2253468,5195.372005,2741.226363,97.90094155,22.61265021,,1,,,,,,1,,,,,,,,,Virgin Valley Water District,Bunk Farm LLC,April '09
NV192,2008,NV,56,56,56,1120,1120,1120,640449.84,337919.5916,6034.278421,301.713921,1,,,,,1,,,,,,,,,,,Bunk Farm LLC,Virgin Valley Water District,April '09
NV193,2008,NV,56,56,56,56,56,56,2400,1266.308412,22.61265021,22.61265021,,1,,,1,,,,,,,,,,,,Virgin Valley Water District,Bunk Farm LLC,April '09
NV194,2008,NV,28.88,28.88,28.88,577.6,577.6,577.6,303615.44,160196.1607,5546.958472,277.3479236,1,,,,,,1,,,,,,,,,,private parties,Great Basin Land and Water,May '09
NV188,2009,NV,811.28,811.28,811.28,16225.6,16225.6,16225.6,6777008,3588509.715,4423.269051,221.1634525,1,,,,,1,,,,,,,,,,,"Glendale Water Holding Company, LLC",Southern Nevada Water Authority,March '09
NV189,2009,NV,448,448,448,448,448,448,19200,10166.63792,22.69338822,22.69338822,,1,,1,1,,,,,,,,,,,,Virgin Valley Water District,River View LLC,April '09
