,,,Quantity of Water Transferred,,,,,,Prices,,,,Transfer Length,,,,Transfer Type,,,,,,,,,,,,,,
ID Code,Year,State,Minimum Annual Acre-Feet,Average Annual Acre-Feet,Maximum Annual Acre-Feet,Committed Minimum Acre-Feet,Commited Average Acre-Feet,Commited Maximum Acre-Feet,Total Price,Inflation Adjusted Total Price,Inflation Adjusted Price per Annual Acre-Foot,Inflation Adjusted Price per Committed Acre-Foot,Sale,Lease,Exchange,Lease Duration,Ag-to-Ag,Ag-to-Urban,Ag-to-Enivo,Urban-to-Ag,Urban-to-Urban,Urban-to-Enviro,Enviro-to-Ag,Enviro-to-Urban,Enviro-to-Enviro,Combination,Recycled,Unknown,Seller,Buyer,Water Strategist Issue
AZ230,2008,AZ,10.1,10.1,10.1,202,202,202,20200,10474.06,1037.04,51.85,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private Party,Private party,September '08
AZ232,2008,AZ,15700.8,15700.8,15700.8,314016,314016,314016,10943457.6,5774080.172,367.7570679,18.3878534,,1,,1,,,,,,,,,,,1,,Tucson Water,949 Reclaimed Water Uers,April '09
AZ234,2008,AZ,2130.3,2130.3,2130.3,2130.3,2130.3,2130.3,,,,,,1,,1,,,,,,,,,,,1,,City f Flagstaff,Recycled Water Customers,May '09
AZ238,2008,AZ,4000,4000,4000,4000,4000,4000,489200,258115.8646,64.52896615,64.52896615,,1,,1,,,,,1,,,,,,,,City of Tucson,Vail Water Company,November '09
AZ231,2009,AZ,98,98,98,1960,1960,1960,147000,79089.53,807.03,40.35,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private party,Golf Course,February '09
AZ233,2009,AZ,118.08,118.08,118.08,2361.6,2361.6,2361.6,343225,181741.8907,1539.142028,76.9571014,1,,,,,,1,,,,,,,,,,private parties,Great Basin Land and Water,May '09
AZ235,2009,AZ,98,98,98,1960,1960,1960,147000,77838.32159,794.2685877,39.71342939,1,,,,,,,,,,,,,,,1,Farmer-water used for livestock,utility,June '09
AZ236,2009,AZ,361,361,361,7220,7220,7220,577600,305846.3575,847.2198269,42.36099134,1,,,,,,,,,,,,,,,1,Dairy,investor,June '09
AZ237,2009,AZ,158.35,158.35,158.35,3167,3167,3167,275687.35,145979.8681,921.8810741,46.09405371,,1,,100,,1,,,,,,,,,,,Salt River Valley Water Users Association,Mesa Country Club,October '09
CA1,1987,CA,100,100,100,100,100,100,25000,25000,250,250,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Imperial Irrigation District,International Technologies Corp.,Aug '87
CA2,1987,CA,7,7,7,7,7,7,525,525,75,75,,,,,,,,,,,,,,,,1,Individuals/irrigation districts,two applicants,Aug '87
CA3,1987,CA,48,48,48,48,48,48,5184,5184,108,108,,,,,,,,,,,,,,,,1,Loyola Maramount Univ.,two applicants,Aug '87
CA4,1987,CA,96,96,96,96,96,96,14784,14784,154,154,,,,,,,,,,,,,,,,1,City of Hawthorne,two applicants,Aug '87
CA5,1987,CA,4300,4300,4300,86000,86000,86000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Sonoma County WA,Marin County WD,Dec '91
CA6,1987,CA,250,250,250,4871.2425,4871.2425,4871.2425,,,,,0,1,0,75,0,0,0,0,1,0,0,0,0,0,,0,Plumas County Flood Control and Water Conservation Dist.,"The Founders at Grizzly Ranch, LLC",Mar '01
CA7,1987,CA,2850,2850,2850,2850,2850,2850,,,,,,,,,,,,,,,,,,,,1,UN,UN,Mar '87
CA8,1987,CA,300,300,300,300,300,300,33000,33000,110,110,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Central LA Basin,Montebello Land and WC,May '87
CA9,1987,CA,70,70,70,1400,1400,1400,84000,84000,1200,60,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,City of Downey,Downey Valley Mutual WC,Nov '87
CA10,1987,CA,5000,7500,10000,5000,7500,10000,86400,86400,11.52,11.52,0,1,0,,0,1,0,0,0,0,0,0,0,0,,0,Bureau of Reclamation,San Juan Suburban WD,Sep '87
CA11,1987,CA,83000,83000,83000,83000,83000,83000,,,,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,Yuba County Water Agency,Department of Water Resources,Year '87
CA12,1988,CA,1500,1500,1500,1500,1500,1500,78750,75621.3,50.4142,50.4142,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,Pacific Gas and Electric Co.,El Dorado Irrigation District,Dec '88
CA13,1988,CA,248,248,248,248,248,248,58280,55964.56,225.6636,225.6636,,,,,,,,,,,,,,,,1,CA Exchange Pool,Four water users,Nov' 88
CA14,1988,CA,45000,45000,45000,45000,45000,45000,253800,243716.6,5.415926,5.415926,0,1,0,,0,0,0,0,0,0,0,0,1,0,,0,Bureau of Reclamation,CA Dept. of Fish and Game,Nov' 88
CA15,1988,CA,125,125,125,125,125,125,14750,14163.99,113.3119,113.3119,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Great Western Malting Company,Oct '87
CA16,1988,CA,273,273,273,273,273,273,32214,30934.15,113.3119,113.3119,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,5 entities,Oct '87
CA17,1988,CA,490,490,490,490,490,490,57820,55522.84,113.3119,113.3119,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Filtrol Corporation,Oct '87
CA18,1988,CA,530,530,530,530,530,530,62540,60055.32,113.3119,113.3119,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,LA County Lakewood Golf Cours,Oct '87
CA19,1988,CA,122000,122000,122000,122000,122000,122000,,,,,0,1,0,,0,0,1,0,0,0,0,0,0,0,,0,Yuba County Water Agency,Department of Water Resources,Year '88
CA24,1989,CA,45479,45479,45479,909580,909580,909580,1104685,1012034,22.25278,1.112639,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Wheeler-RIrrigation Districtge-Maricopa Water Storage District,Westlands WD,Feb '90
CA25,1989,CA,73113,73113,73113,1462260,1462260,1462260,1316034,1205657,16.49032,0.8245162,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Multiple WD's and Water Storage D's,Multiple WD's and Water Storage D's,Feb '90
CA20,1989,CA,325,325,325,325,325,325,33312.5,30518.55,93.90323,93.90323,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,3 entities,Bellflower-Somerset Mutual WC,Apr '89
CA21,1989,CA,2000,2000,2000,2000,2000,2000,90000,82451.61,41.2258,41.2258,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Yuba County Water Agency,City of Napa,Apr '89
CA22,1989,CA,90000,90000,90000,90000,90000,90000,405000,371032.3,4.122581,4.122581,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,Yuba County Water Authority,Department of Water Resources,Apr '89
CA23,1989,CA,60000,60000,60000,60000,60000,60000,,,,,0,1,0,,0,0,0,0,1,0,0,0,0,0,,0,Yuba County Water Agency,East Bay Municipal Utiltiy D,Feb '89
